ID;NAME;TYPE;DESCRIPTION;BRAND;WORKSHOP;SUPPLIER;BUY PRICE
COMP01001;22702;ACCESORIOS;CABLE;LAPP GROUP;E;;20
COMP01002;22733;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01003;22738;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01004;22742;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01005;22744;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01006;27950;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01007;44662;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01627;01.1222 08;ACCESORIOS;CAJA DE BORNES 120X220X80;ROSE;E;ELEKO;50
COMP01324;020PL9;ACCESORIOS;CAJA PORTALAMPARA;ELFIN;E;;0.0
COMP01008;270100000;ACCESORIOS;CARRIL DIN;WEIDMULLER;E;;10
COMP01607;04/059F;ACCESORIOS;PLACA DE INSCRIPCION ANILLO PARO DE EMERGENCIA D=22.5/50MM;SIEMENS;E;ELEKO;5
COMP01798;05/475FMITSONDERTEXT;ACCESORIOS;ROTULO;G. JAHN;E;;10
COMP01328;050F02;ACCESORIOS;TOPE MECANICO;ELFIN;E;;0.0
COMP01329;050F20;ACCESORIOS;TOPE MECANICO;ELFIN;E;;0.0
COMP01330;050FC3C;ACCESORIOS;TOPE MECANICO;ELFIN;E;;0.0
COMP01009;050S003;ACCESORIOS;SOPORTE;ELFIN;E;;20
COMP01332;050S015;ACCESORIOS;SOPORTE;ELFIN;E;;0.0
COMP01177;094.91.3;ACCESORIOS;RELAI BRACKET;FINDER;E;;10
COMP01178;97627;ACCESORIOS;COUPLER PLUG EUCHNER;EUCHNER;E;;50
COMP01179;97645;ACCESORIOS;EUCHNER END PLUG;EUCHNER;E;;50
COMP00447;1-214 04 10X38;ACCESORIOS;BASE;LEGRAND;E;;10
COMP01657;1.20123.003;ACCESORIOS;ELEMENTO DE CONMUTACION RAFIX16 1S + LAMPARA;RAFI;E;ELEKO;20
COMP01333;1000043;ACCESORIOS;CONECTADOR;PHOENIX;E;;0.0
COMP00943;100179;ACCESORIOS;CONECTOR DE CABLE CONECTOR HEMBRA M12, 8 POLOS, 20M;EUCHNER;E;ELEKO;60
COMP00878;106305;ACCESORIOS;MODULO ADAPTADOR PARA LLAVE EKS;EUCHNER;E;ELEKO;100
COMP00804;106761;ACCESORIOS;EJE DE ACCIONAMIENTO ALARGADO, MGB;EUCHNER;E;ELEKO;50
COMP00880;1085039;ACCESORIOS;INTERRUPTOR ETHERNET 1005N;PHOENIX;E;ELEKO;150
COMP01738;11-02-01-01-44.002;ACCESORIOS;MODEM INSYS 56K SMALL INT 2.0 USB;INSYS;E;;100
COMP00384;1121710;ACCESORIOS;CONECTOR M12;BALLUFF;E;;10
COMP01012;1123035;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01013;1123067;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01014;1123111;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01015;1123128;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01180;118.000 4AT PBF;ACCESORIOS;GLASS FUSE 5*20 4T;PUESCHEL;E;;5
COMP00658;1200000000;ACCESORIOS;CONECTOR MACHO 6 POLOS + PE 16A CONEXION POR TORNILLO;WEIDMULLER;E;;20
COMP00659;1200200000;ACCESORIOS;CONECTOR HEMBRA 6 POLOS + PE 16A CONEXION POR TORNILLO;WEIDMULLER;E;;20
COMP00660;120190;ACCESORIOS;CONECTOR DE POTENCIA ACODADO;FAGOR;E;;50
COMP02098;121073-154;ACCESORIOS;TAPA;CANNON;E;ELEKO;20
COMP02101;121410-151;ACCESORIOS;TAPA;CANNON;E;ELEKO;20
COMP01569;121DO;ACCESORIOS;CAPERUZA PROTECTORA PARA BASE DE ENCHUFE;JUNG;E;ELEKO;10
COMP01835;124096;ACCESORIOS;CABLE DE MANDO PUR/PVC FD GY;UNKNOWN;E;;20
COMP00662;149810;ACCESORIOS;CONECTOR MACHO 3P+T HDC-HA-3SS;WEIDMULLER;E;;20
COMP00663;149820;ACCESORIOS;CONECTOR HEMBRA 3P+PE HDC-HA-3SS;WEIDMULLER;E;;20
COMP01698;15;ACCESORIOS;PLACA SIMBOLO RUS 30X50, D=22,5;HALM;E;;800
COMP00664;15151;ACCESORIOS;SOPORTE PARA PULSADORES EN CARRIL DE ARMARIO;SCHNEIDER;E;;10
COMP01019;164274;ACCESORIOS;CONECTOR;FESTO;E;;10
COMP01744;170594;ACCESORIOS;DISTRIBUIDOR SAI-8-M 4P;WEIDMULLER;E;;0.0
COMP01020;172;ACCESORIOS;TAPA;SUNON;E;;10
COMP00666;1787550000;ACCESORIOS;CAPOTA ACODADA 10P;WEIDMULLER;E;;30
COMP00667;1787760000;ACCESORIOS;CAPOTA ACODADA 24P;WEIDMULLER;E;;30
COMP00668;1788820000;ACCESORIOS;CAPOTA HDC-HA-3-TOVL1/11P;WEIDMULLER;E;;30
COMP00669;1788840000;ACCESORIOS;CAPOTA ROSCADA SALIDA SUPERIOR 3A 4P;WEIDMULLER;E;;30
COMP00670;1803850000;ACCESORIOS;CONECTOR MACHO M8 RECTO 4 POLOS;WEIDMULLER;E;;15
COMP00671;1803880000;ACCESORIOS;CONECTOR HEMBRA M8 RECTO 4 POLOS;WEIDMULLER;E;;15
COMP00672;1805930000;ACCESORIOS;CAPOTA ACODADA 6P;WEIDMULLER;E;;30
COMP00673;1873540000;ACCESORIOS;CONECTOR HEMBRA 10 POLOS + PE 16A PUSH-IN;WEIDMULLER;E;;25
COMP00674;1873550000;ACCESORIOS;CONECTOR MACHO 10 POLOS + PE 16A PUSH-IN;WEIDMULLER;E;;25
COMP00675;1873580000;ACCESORIOS;CONECTOR HEMBRA 24 POLOS + PE 16A PUSH-IN;WEIDMULLER;E;;35
COMP00676;1873590000;ACCESORIOS;CONECTOR MACHO 24 POLOS + PE 16A PUSH-IN;WEIDMULLER;E;;35
COMP00677;1900480000;ACCESORIOS;BASE MURAL 6P;WEIDMULLER;E;;30
COMP00678;1901150000;ACCESORIOS;BASE MURAL 24P;WEIDMULLER;E;;40
COMP00679;1901370000;ACCESORIOS;BASE MURAL 10P;WEIDMULLER;E;;35
COMP01745;1918479;ACCESORIOS;CONECTOR CONECTOR 4POL. MACHO;LAPP;E;;0.0
COMP00823;19300060291;ACCESORIOS;CARCASA DE BASE HAN 6B, 2*M25;HARTING;E;ELEKO;40
COMP00801;19300060546;ACCESORIOS;CAJA SUPERIOR HAN 6B, 1*M25;HARTING;E;ELEKO;30
COMP00885;19300060547;ACCESORIOS;CAJA SUPERIOR HAN 6B, M32;HARTING;E;ELEKO;30
COMP00818;19300061540;ACCESORIOS;CAJA SUPERIOR HAN 6B, M20;HARTING;E;ELEKO;30
COMP00825;19300100527;ACCESORIOS;CAJA SUPERIOR HAN 10B, M32;HARTING;E;ELEKO;35
COMP00824;19300101231;ACCESORIOS;CARCASA DE BASE HAN 10B, 1*M25;HARTING;E;ELEKO;40
COMP00822;19300101541;ACCESORIOS;CAJA SUPERIOR HAN 10B, M25;HARTING;E;ELEKO;35
COMP00812;19300240547;ACCESORIOS;CAJA SUPERIOR HAN 24B, M32;HARTING;E;ELEKO;40
COMP01672;205052;ACCESORIOS;KIT DE MONTAJE DE INTERRUPTOR PRINCIPAL EA-NZM7-R;KLOCKNER&MOLLER;E;;120
COMP00857;20622;ACCESORIOS;RESISTENCIA DE FRENADO FZDP 200X35 S, 3*1,6 OHM;FRIZLEN;E;ELEKO;150
COMP00830;229220;ACCESORIOS;CONECTOR MACHO M12, 5 POLOS RECTO, BORNES DE TORNILLO;PEPPERL & FUCHS;E;ELEKO;20
COMP02004;23752402;ACCESORIOS;CONECTOR LADO EXE;HEIDENHAIN;E;;50
COMP02005;23752410;ACCESORIOS;CONECTOR;HEIDENHAIN;E;;50
COMP02003;23752412;ACCESORIOS;CONECTOR (EXE/CN);HEIDENHAIN;E;;50
COMP00079;2482.330;ACCESORIOS;MARCO DOBLE METALICO;RITTAL;E;;40.0
COMP01631;249-117;ACCESORIOS;SOPORTE FINAL;WAGO;E;ELEKO;5
COMP01302;24V BA9S;ACCESORIOS;LAMPARA 24V;LEGRAND;E;;2
COMP02099;250-8501-013;ACCESORIOS;TORNILLO;CANNON;E;ELEKO;5
COMP02100;25P;ACCESORIOS;CONECTOR;CANNON;E;ELEKO;50
COMP00791;282-384;ACCESORIOS;BLOQUEO DE DESCONEXION;WAGO;E;ELEKO;5
COMP00792;282-386;ACCESORIOS;PLACA DE CIERRE Y SEPARACION 1,5MM;WAGO;E;ELEKO;5
COMP00793;282-424;ACCESORIOS;BLOQUEADOR DE CONEXION;WAGO;E;ELEKO;5
COMP00790;282-870;ACCESORIOS;TERMINAL DE DESCONEXION Y MEDIDA 4MM;WAGO;E;ELEKO;10
COMP00794;282-882;ACCESORIOS;BLOQUEO DE CONEXION 2 POLOS;WAGO;E;ELEKO;5
COMP01630;283-316;ACCESORIOS;PLACA DE CONEXION;WAGO;E;ELEKO;5
COMP01628;283-601;ACCESORIOS;BORNE DE 2 CONDUCTORES;WAGO;E;ELEKO;5
COMP01629;283-607;ACCESORIOS;BORNE DE 2 CONDUCTORES;WAGO;E;ELEKO;5
COMP01748;285-194;ACCESORIOS;BORNE DE 2 CONDUCTORES;WAGO;E;;0.0
COMP01749;285-195;ACCESORIOS;BORNE DE 2 CONDUCTORES;WAGO;E;;0.0
COMP01750;285-197;ACCESORIOS;BORNE DE 2 CONDUCTORES;WAGO;E;;0.0
COMP02081;2E+02;ACCESORIOS;BLOQUE DE CONTACTOS;ELFIN;E;ELEKO;10
COMP01917;2X1MM2;ACCESORIOS;CABLE DE MANDO PUR/PVC FD GY;UNKNOWN;E;;20
COMP01695;30X50, D=22,5;ACCESORIOS;PLACA VACIA 30X50, D=22,5;HALM;E;;800
COMP01751;337213;ACCESORIOS;CABLE MSDL1-A-TFY;MURRELEKTRONIK;E;;0.0
COMP01931;338432;ACCESORIOS;CABLE DE UNION DESINA;MURR;E;;20
COMP00840;3385540;ACCESORIOS;REFRIGERADOR PARA MONTAJE EN EL TECHO REFRIGERADOR, 2000W;RITTAL;E;ELEKO;1500
COMP01678;3462447;ACCESORIOS;CHAPA DEFLECTORA DE AIRE LUFTLEITBLECH;SIRO;E;;100
COMP00680;37SM246A;ACCESORIOS;CONECTOR BORNERO 37 PIN MACHO;WEIDMULLER;E;;30
COMP00681;37SM247A;ACCESORIOS;CONECTOR BORNERO 37 PIN HEMBRA;WEIDMULLER;E;;30
COMP01025;3820530;ACCESORIOS;CABLE;IMPAC;E;;50
COMP01026;3835230;ACCESORIOS;UNIDAD DE PURGA;IMPAC;E;;200
COMP01030;3KD9204-6;ACCESORIOS;TAPA CUBREBORNES;SIEMENS;E;;20
COMP01183;3LT2103-TTL53;ACCESORIOS;MAIN SWITCH;SIEMENS;E;;100
COMP01559;3NY1236;ACCESORIOS;BORNE DE ALIMENTACION 3NY1 236;SIEMENS;E;ELEKO;20
COMP01709;3NY1237;ACCESORIOS;BARRA COLECTORA 3 FASES-SAMMELSCHIENE 3NY1237;SIEMENS;E;;100
COMP01710;3NY1253;ACCESORIOS;CUBIERTA DE MATERIAL AISLANTE 3NY1253;SIEMENS;E;;100
COMP00526;3RA19 11-1A;ACCESORIOS;MODULO DE UNION;SIEMENS;E;ELEKO;10
COMP01344;3RA1911-1A;ACCESORIOS;MODULO DE UNION;SIEMENS;E;ELEKO;10.0
COMP01345;3RA1921-1B;ACCESORIOS;ELEMENTO DE UNION;SIEMENS;E;;0.0
COMP01031;3RA2911-2AA00;ACCESORIOS;BLOQUE DE CONEXION;SIEMENS;E;;10
COMP01590;3RH1911-1HA12;ACCESORIOS;BLOQUE DE CONTACTOS AUXILIARES 1S+2OE 230VAC 6A 24VDC 4A;SIEMENS;E;ELEKO;20
COMP01034;3RH2911-2HA31;ACCESORIOS;BLOQUE CONTACTOS AUXILIARES;SIEMENS;E;;10
COMP01578;3RT1916-1PA2;ACCESORIOS;MODULO DE SUPRESION EMV 575V;SIEMENS;E;ELEKO;20
COMP01359;3RT1936-4EA2;ACCESORIOS;CUBREBORNES;SIEMENS;E;;0.0
COMP00858;3RT2926-1CB00;ACCESORIOS;LIMITADOR DE SOBRETENSIONES, (RC,) S0;SIEMENS;E;ELEKO;20
COMP00774;3RT2936-4EA2;ACCESORIOS;CUBIERTA DE BORNES 3RT2 BGR. S2;SIEMENS;E;ELEKO;20
COMP01041;3RT2946-4EA2;ACCESORIOS;TAPA CUBREBORNES;SIEMENS;E;;20
COMP01185;3RV1901-1A;ACCESORIOS;AUXILIARY CONTACT;SIEMENS;E;;10
COMP01561;3RV1901-1D;ACCESORIOS;CONTACTO AUXILIAR BLOQUE DE CONTACTOS 230VAC=4A 24VDC=;SIEMENS;E;ELEKO;25
COMP00776;3RV2901-1D;ACCESORIOS;CONTACTO AUXILIAR, 1CO;SIEMENS;E;ELEKO;25
COMP01052;3RV2901-2E;ACCESORIOS;BLOQUE CONTACTOS AUXILIARES;SIEMENS;E;;10
COMP01993;3SB1118-6BC20;ACCESORIOS;LENTE ROJA;SIEMENS;E;;10
COMP01981;3SB1320-1A;ACCESORIOS;ELEMENTO DE CONTACTO;SIEMENS;E;;10
COMP01593;3SB1420-0B;ACCESORIOS;ELEMENTO DE CONTACTO 1 CONTACTO NA (CRNO);SIEMENS;E;ELEKO;10
COMP01591;3SB1803-0AC;ACCESORIOS;CAJA PARA 3 PUESTOS DE MANDO, MATERIAL SINTETICO;SIEMENS;E;ELEKO;50
COMP01594;3SB19013AA;ACCESORIOS;PLACA DE INSCRIPCION;SIEMENS;E;ELEKO;5
COMP01679;3SB3803-0AA;ACCESORIOS;CARCASA PARA PULSADORES 3 PUNTOS DE MANDO 22,5MM 3SB3803-0AA;SIEMENS;E;;100
COMP00487;3SB3901-0AB;ACCESORIOS;SOPORTE;SIEMENS;E;;5
COMP01382;3SE3120-1GW;ACCESORIOS;TOPE MECANICO;SIEMENS;E;;0.0
COMP01053;3SE5000-0AV03;ACCESORIOS;PESTILLO;SIEMENS;E;;20
COMP01189;3SU1400-1AA10-1CA0;ACCESORIOS;NORMALLY CLOSED ELEMENTS;SIEMENS;E;;15
COMP01063;3SU1400-1AA10-3BA0;ACCESORIOS;CONTACTO AUXILIAR PARA MODULO LED;SIEMENS;E;;10
COMP01064;3SU1400-1AA10-3CA0;ACCESORIOS;CONTACTO AUXILIAR PARA MODULO LED;SIEMENS;E;;10
COMP01065;3SU1400-2AA10-3CA0;ACCESORIOS;CONTACTO AUXILIAR PARA MODULO LED;SIEMENS;E;;10
COMP00932;3SU1401-1BB60-1AA0;ACCESORIOS;MODULO LED, BLANCO;SIEMENS;E;ELEKO;20
COMP01067;3SU1851-0AA00-0AA2;ACCESORIOS;CAJA;SIEMENS;E;;30
COMP01068;3SU1900-0AH10-0AA0;ACCESORIOS;ACCESORIO;SIEMENS;E;;5
COMP00877;3SU1900-0AS10-0AA0;ACCESORIOS;PORTAPLAQUITAS, 30X50;SIEMENS;E;ELEKO;5
COMP00876;3SU1900-0KH80-0AA0;ACCESORIOS;ADAPTADOR PARA PERFIL DIN;SIEMENS;E;ELEKO;10
COMP01994;3TX4092-6A;ACCESORIOS;CABEZAL TEMPORIZADO 10-60S;SIEMENS;E;;50
COMP02049;3TX7466-0A;ACCESORIOS;CUBREBORNES PARA 3TF46-3TF49;SIEMENS;E;;20
COMP01952;3TZ6405-2A;ACCESORIOS;FILTRO RC 24VCC PARA 3TH-3TF40-3TF45;SIEMENS;E;;20
COMP01953;3TZ6405-2C;ACCESORIOS;FILTRO RC 110-230VCA PARA 3TH-3TF40-3TF45;SIEMENS;E;;20
COMP01954;3TZ6465-2A;ACCESORIOS;FILTRO RC 24VCC PARA 3TF46-3TF56;SIEMENS;E;;20
COMP01069;3UF7930-0AA00-0;ACCESORIOS;CABLE;SIEMENS;E;;20
COMP00786;3VA9111-0WF30;ACCESORIOS;CUBIERTA DE BORNES 3 POLOS;SIEMENS;E;ELEKO;20
COMP00787;3VA9157-0PK51;ACCESORIOS;MANDO GIRATORIO PANEL LATERAL / 3VA1 100/160A;SIEMENS;E;ELEKO;50
COMP00785;3VA9988-0AA23;ACCESORIOS;CONTACTO AUXILIAR, ADELANTADO;SIEMENS;E;ELEKO;30
COMP01934;3VF9323-1EA00;ACCESORIOS;MANETA;SIEMENS;E;;50
COMP01935;3VF9324-1NB20;ACCESORIOS;CUBREBORNES;SIEMENS;E;;30
COMP01880;4000-68000-0020000;ACCESORIOS;CAJA DE ENCHUFE DE CONTACTO DE PROTECCION MSDD;MURR;E;;50
COMP00837;4000-68000-0140000;ACCESORIOS;INSERTO DE TOMA DE CORRIENTE (VDE) NARANJA;MURRELEKTRONIK;E;ELEKO;15
COMP00683;4000-68000-0410000;ACCESORIOS;CONECTORES DB9 MACHO + DB25 HEMBRA;MURR ELEKTRONIK;E;;20
COMP00879;4000-68000-0940000;ACCESORIOS;MODULO FRONTAL USB/2*RJ45;MURRELEKTRONIK;E;ELEKO;50
COMP01190;4000-68000-1210000;ACCESORIOS;RJ45 / FAST ETHERNET;MURRELEKTRONIK;E;;50
COMP01881;4000-68000-1240000;ACCESORIOS;INTERFAZ DE PLACA FRONTAL MSDD;MURR;E;;50
COMP01768;4000-68000-4500001;ACCESORIOS;INSERTO SUCKO + RJ45+RJ45;MURRELEKTRONIK;E;;0.0
COMP01191;4000-68113-0000000;ACCESORIOS;BASIC HOUSING;MURRELEKTRONIK;E;;50
COMP01673;4000-68113-0020000;ACCESORIOS;INTERFACE DE PANEL FRONTAL INTERFACE PANEL FRONTAL SCHUKO AMARILLO;MURRELEKTRONIK;E;;100
COMP01879;4000-68122-0000000;ACCESORIOS;MSDD;MURR;E;;50
COMP00684;4000-68123-0000000;ACCESORIOS;TAPA DOBLE ALOJAMIENTO METALICA;MURR ELEKTRONIK;E;;30
COMP01192;4000-70103-0008000;ACCESORIOS;FEED-THROUGH MODULE;MURRELEKTRONIK;E;;50
COMP01193;4000-70403-0001060;ACCESORIOS;GROMMET;MURRELEKTRONIK;E;;20
COMP01194;4000-70403-0001070;ACCESORIOS;GROMMET;MURRELEKTRONIK;E;;20
COMP01195;4000-70503-0001010;ACCESORIOS;GROMMET;MURRELEKTRONIK;E;;20
COMP00685;4003400;ACCESORIOS;CONECTOR REDONDO ENCODER 17P MACHO HORARIO;INTERCONTEC;E;;50
COMP00686;4003500;ACCESORIOS;CONECTOR REDONDO ENCODER 17P HEMBRA ANTIHORARIO;INTERCONTEC;E;;50
COMP00828;408001952-00459389;ACCESORIOS;SOPORTE PARA LUZ DE LA MAQUINA;WALDMANN;E;ELEKO;50
COMP01070;4257340;ACCESORIOS;MANGUERA;FARNELL;E;;50
COMP00530;4298 00 01;ACCESORIOS;PLACA BASE;LEGRIS;M;AINSE;20
COMP01877;450001000016;ACCESORIOS;CABLE PATCH;SPEZIALKABEL SCHMID;E;;10
COMP01387;4507200091;ACCESORIOS;TARJETA FONCION CORTE EN AIRE;NOVA;E;;0.0
COMP01390;4507228000;ACCESORIOS;PROTECCION;NOVA;E;;0.0
COMP01391;4511403013;ACCESORIOS;VENTILADOR;NOVA;E;;0.0
COMP01071;4515574;ACCESORIOS;BOBINA;TESAN;E;;100
COMP01072;4533063;ACCESORIOS;MANGUERA;LAPP GROUP;E;;20
COMP01587;480901;ACCESORIOS;CONECTOR MACHO C 164 11E0041031;DELTRONA;E;ELEKO;20
COMP01588;480902;ACCESORIOS;CONECTOR MACHO 3 POL., NEGRO PG11, LED >21.6V;LAPP;E;ELEKO;20
COMP01074;485-300-03028;ACCESORIOS;SOPORTE BALIZA;GH;E;;50
COMP01075;489-590-00002;ACCESORIOS;REGLETA DE TIERRAS;GH;E;;30
COMP01076;489.590.00003;ACCESORIOS;REGLETA DE TIERRA PRINCIPAL;GH;E;;30
COMP01566;5103;ACCESORIOS;BASE DE ENCHUFE DE SERVICIO CEE 5P 16A 6H;MENNEKES;E;ELEKO;20
COMP00385;520310PP;ACCESORIOS;CONECTOR M12;BALLUFF;E;;15
COMP01078;541244;ACCESORIOS;BLOQUE DE DISTRIBUCION;FESTO;E;;50
COMP01890;54773;ACCESORIOS;ENCHUFE PASADOR SR11 WF;EUCHNER;E;;20
COMP01080;551700;ACCESORIOS;AISLAMIENTO;ERICO;E;;10
COMP01967;5SH1120-6A;ACCESORIOS;PORTACARTUCHO;SIEMENS;E;;20
COMP01963;5SH316;ACCESORIOS;CALIBRADOR 25A;SIEMENS;E;;20
COMP01082;5ST3010;ACCESORIOS;CONTACTO AUXILIAR;SIEMENS;E;;20
COMP00780;5ST3013;ACCESORIOS;CONTACTO AUXILIAR 1NA/1NC;SIEMENS;E;ELEKO;25
COMP01564;5SX9100;ACCESORIOS;CONTACTO AUXILIAR 1 NA + 1 NC 1/2 UNIDAD DE MODULO;SIEMENS;E;ELEKO;20
COMP01937;5UR3006;ACCESORIOS;TOMA DE PARED 230VCA 50/60HZ;SIEMENS;E;;30
COMP00689;6001111;ACCESORIOS;PIN HEMBRA PARA CRIMPAR;INTERCONTEC;E;;5
COMP00690;6100411;ACCESORIOS;PIN MACHO PARA CRIMPAR;INTERCONTEC;E;;5
COMP00927;64083000;ACCESORIOS;ELEMENTO DE CONEXION;WERMA;E;ELEKO;50
COMP01568;67600;ACCESORIOS;INTERFACE DE PANEL FRONTAL;MURRELEKTRONIK;E;ELEKO;50
COMP01653;676180;ACCESORIOS;INTERFACE DE PANEL FRONTAL;MURRELEKTRONIK;E;ELEKO;50
COMP01769;6AV2123-2MB03-0AX0;ACCESORIOS;SIMATIC HMI KTP 1200 PN BASIC COLOR 12;SIEMENS;E;;0.0
